法令種類,建築関連法令
http://law.e-gov.go.jp/htmldata/S25/S25HO201.html,建築基準法
http://law.e-gov.go.jp/htmldata/S25/S25SE338.html,建築基準法施行令
http://law.e-gov.go.jp/htmldata/S25/S25F04201000040.html,建築基準法施行規則
http://law.e-gov.go.jp/htmldata/S23/S23HO186.html,消防法
http://law.e-gov.go.jp/htmldata/S36/S36SE037.html,消防法施行令
http://law.e-gov.go.jp/htmldata/S36/S36F04301000006.html,消防法施行規則
http://law.e-gov.go.jp/htmldata/S45/S45HO020.html,建築物における衛生的環境の確保に関する法律
http://law.e-gov.go.jp/htmldata/S45/S45SE304.html,建築物における衛生的環境の確保に関する法律施行令
http://law.e-gov.go.jp/htmldata/S46/S46F03601000002.html,建築物における衛生的環境の確保に関する法律施行規則
http://law.e-gov.go.jp/htmldata/H07/H07HO123.html,建築物の耐震改修の促進に関する法律
http://law.e-gov.go.jp/htmldata/H07/H07SE429.html,建築物の耐震改修の促進に関する法律施行令
http://law.e-gov.go.jp/htmldata/H07/H07F04201000028.html,建築物の耐震改修の促進に関する法律施行規則
http://law.e-gov.go.jp/htmldata/S32/S32HO106.html,駐車場法
http://law.e-gov.go.jp/htmldata/S32/S32SE340.html,駐車場法施行令
http://law.e-gov.go.jp/htmldata/H12/H12F03902005012.html,駐車場法施行規則
http://law.e-gov.go.jp/htmldata/H18/H18HO091.html,高齢者、障害者等の移動等の円滑化の促進に関する法律
http://law.e-gov.go.jp/htmldata/H18/H18SE379.html,高齢者、障害者等の移動等の円滑化の促進に関する法律施行令
http://law.e-gov.go.jp/htmldata/H18/H18F16001000110.html,高齢者、障害者等の移動等の円滑化の促進に関する法律施行規則
http://law.e-gov.go.jp/htmldata/S36/S36HO191.html,宅地造成等規制法
http://law.e-gov.go.jp/htmldata/S37/S37SE016.html,宅地造成等規制法施行令
http://law.e-gov.go.jp/htmldata/S37/S37F04201000003.html,宅地造成等規制法施行規則
http://law.e-gov.go.jp/htmldata/S24/S24HO189.html,屋外広告物法
http://law.e-gov.go.jp/htmldata/H16/H16F16001000102.html,屋外広告物法施行規則
http://law.e-gov.go.jp/htmldata/H16/H16HO110.html,景観法
http://law.e-gov.go.jp/htmldata/H16/H16SE398.html,景観法施行令
http://law.e-gov.go.jp/htmldata/H16/H16F16001000100.html,景観法施行規則
http://law.e-gov.go.jp/htmldata/S43/S43HO100.html,都市計画法
http://law.e-gov.go.jp/htmldata/S44/S44SE158.html,都市計画法施行令
http://law.e-gov.go.jp/htmldata/S44/S44F04201000049.html,都市計画法施行規則
http://law.e-gov.go.jp/htmldata/S54/S54HO049.html,エネルギーの使用の合理化等に関する法律
http://law.e-gov.go.jp/htmldata/S54/S54SE267.html,エネルギーの使用の合理化等に関する法律施行令
http://law.e-gov.go.jp/htmldata/S54/S54F03801000074.html,エネルギーの使用の合理化等に関する法律施行規則
http://law.e-gov.go.jp/htmldata/S44/S44SE317.html,風致地区内における建築等の規制に係る条例の制定に関する基準を定める政令
http://law.e-gov.go.jp/htmldata/H13/H13HO064.html,フロン類の使用の合理化及び管理の適正化に関する法律
http://law.e-gov.go.jp/htmldata/H13/H13SE396.html,フロン類の使用の合理化及び管理の適正化に関する法律施行令
http://law.e-gov.go.jp/htmldata/H26/H26F15002002007.html,フロン類の使用の合理化及び管理の適正化に関する法律施行規則
http://law.e-gov.go.jp/htmldata/H16/H16HO123.html,不動産登記法
http://law.e-gov.go.jp/htmldata/H16/H16SE379.html,不動産登記令
http://law.e-gov.go.jp/htmldata/H17/H17F12001000018.html,不動産登記規則
http://law.e-gov.go.jp/htmldata/S50/S50F04301000026.html,泡消火薬剤の技術上の規格を定める省令
http://law.e-gov.go.jp/htmldata/S50/S50F04301000019.html,一斉開放弁の技術上の規格を定める省令
http://law.e-gov.go.jp/htmldata/H25/H25F11001000026.html,エアゾール式簡易消火具の技術上の規格を定める省令
http://law.e-gov.go.jp/htmldata/S56/S56F04301000017.html,火災報知設備の感知器及び発信機に係る技術上の規格を定める省令
http://law.e-gov.go.jp/htmldata/H06/H06F04301000002.html,緩降機の技術上の規格を定める省令
http://law.e-gov.go.jp/htmldata/S40/S40F04301000003.html,金属製避難はしごの技術上の規格を定める省令
http://law.e-gov.go.jp/htmldata/S39/S39F04301000027.html,消火器の技術上の規格を定める省令
http://law.e-gov.go.jp/htmldata/S39/S39F04301000028.html,消火器用消火薬剤の技術上の規格を定める省令
http://law.e-gov.go.jp/htmldata/S61/S61F04301000025.html,消防用吸管の技術上の規格を定める省令
http://law.e-gov.go.jp/htmldata/H25/H25F11001000023.html,消防用ホースに使用する差込式又はねじ式の結合金具及び消防用吸管に使用するねじ式の結合金具の技術上の規格を定める省令
http://law.e-gov.go.jp/htmldata/H25/H25F11001000022.html,消防用ホースの技術上の規格を定める省令
http://law.e-gov.go.jp/htmldata/H17/H17F11001000011.html,住宅用防災警報器及び住宅用防災報知設備に係る技術上の規格を定める省令
http://law.e-gov.go.jp/htmldata/S56/S56F04301000019.html,受信機に係る技術上の規格を定める省令
http://law.e-gov.go.jp/htmldata/S56/S56F04301000018.html,中継器に係る技術上の規格を定める省令
http://law.e-gov.go.jp/htmldata/S61/S61F04301000024.html,動力消防ポンプの技術上の規格を定める省令
http://law.e-gov.go.jp/htmldata/S40/S40F04301000002.html,閉鎖型スプリンクラーヘッドの技術上の規格を定める省令
http://law.e-gov.go.jp/htmldata/S58/S58F04301000002.html,流水検知装置の技術上の規格を定める省令
http://law.e-gov.go.jp/htmldata/H25/H25F11001000024.html,漏電火災警報器に係る技術上の規格を定める省令
http://law.e-gov.go.jp/htmldata/S34/S34SE306.html,危険物の規制に関する政令
http://law.e-gov.go.jp/htmldata/S34/S34F03101000055.html,危険物の規制に関する規則
http://law.e-gov.go.jp/htmldata/H16/H16F11001000138.html,住宅用防災機器の設置及び維持に関する条例の制定に関する基準を定める省令
http://law.e-gov.go.jp/htmldata/H14/H14F11001000024.html,対象火気設備等の位置、構造及び管理並びに対象火気器具等の取扱いに関する条例の制定に関する基準を定める省令
http://law.e-gov.go.jp/htmldata/H17/H17F11001000040.html,特定共同住宅等における必要とされる防火安全性能を有する消防の用に供する設備等に関する省令
http://law.e-gov.go.jp/htmldata/H20/H20F11001000156.html,特定小規模施設における必要とされる防火安全性能を有する消防の用に供する設備等に関する省令
http://law.e-gov.go.jp/htmldata/H26/H26F11001000023.html,特定駐車場における必要とされる防火安全性能を有する消防の用に供する設備等に関する省令
http://law.e-gov.go.jp/htmldata/H21/H21F11001000088.html,排煙設備に代えて用いることができる必要とされる防火安全性能を有する消防の用に供する設備等に関する省令
http://law.e-gov.go.jp/htmldata/H16/H16F11001000092.html,必要とされる防火安全性能を有する消防の用に供する設備等に関する省令
http://law.e-gov.go.jp/htmldata/H22/H22F11001000007.html,複合型居住施設における必要とされる防火安全性能を有する消防の用に供する設備等に関する省令
http://law.e-gov.go.jp/htmldata/H20/H20HO040.html,地域における歴史的風致の維持及び向上に関する法律
http://law.e-gov.go.jp/htmldata/H20/H20SE337.html,地域における歴史的風致の維持及び向上に関する法律施行令
http://law.e-gov.go.jp/htmldata/H20/H20F20002004001.html,地域における歴史的風致の維持及び向上に関する法律施行規則
http://law.e-gov.go.jp/htmldata/H10/H10HO091.html,大規模小売店舗立地法
http://law.e-gov.go.jp/htmldata/H10/H10SE327.html,大規模小売店舗立地法施行令
http://law.e-gov.go.jp/htmldata/H11/H11F03801000062.html,大規模小売店舗立地法施行規則
http://law.e-gov.go.jp/htmldata/S45/S45HO048.html,著作権法
http://law.e-gov.go.jp/htmldata/S45/S45SE335.html,著作権法施行令
http://law.e-gov.go.jp/htmldata/S45/S45F03501000026.html,著作権法施行規則
http://law.e-gov.go.jp/htmldata/H10/H10HO092.html,中心市街地の活性化に関する法律
http://law.e-gov.go.jp/htmldata/H10/H10SE263.html,中心市街地の活性化に関する法律施行令
http://law.e-gov.go.jp/htmldata/H18/H18F10001000077.html,中心市街地の活性化に関する法律施行規則
http://law.e-gov.go.jp/htmldata/H14/H14HO103.html,健康増進法
http://law.e-gov.go.jp/htmldata/H14/H14SE361.html,健康増進法施行令
http://law.e-gov.go.jp/htmldata/H15/H15F19001000086.html,健康増進法施行規則
http://law.e-gov.go.jp/htmldata/H04/H04F03801000080.html,計量単位規則
http://law.e-gov.go.jp/htmldata/H04/H04SE357.html,計量単位令
http://law.e-gov.go.jp/htmldata/H04/H04HO051.html,計量法
http://law.e-gov.go.jp/htmldata/H05/H05SE329.html,計量法施行令
http://law.e-gov.go.jp/htmldata/H05/H05F03801000069.html,計量法施行規則
http://law.e-gov.go.jp/htmldata/S33/S33HO030.html,地すべり等防止法
http://law.e-gov.go.jp/htmldata/S33/S33SE112.html,地すべり等防止法施行令
http://law.e-gov.go.jp/htmldata/S33/S33F00602005001.html,地すべり等防止法施行規則
http://law.e-gov.go.jp/htmldata/S24/S24HO100.html,建設業法
http://law.e-gov.go.jp/htmldata/S31/S31SE273.html,建設業法施行令
http://law.e-gov.go.jp/htmldata/S24/S24F04201000014.html,建設業法施行規則
http://law.e-gov.go.jp/htmldata/H12/H12HO104.html,建設工事に係る資材の再資源化等に関する法律
http://law.e-gov.go.jp/htmldata/H12/H12SE495.html,建設工事に係る資材の再資源化等に関する法律施行令
http://law.e-gov.go.jp/htmldata/H14/H14F16002001001.html,建設工事に係る資材の再資源化等に関する法律施行規則
http://law.e-gov.go.jp/htmldata/H17/H17F19001000021.html,石綿障害予防規則
http://law.e-gov.go.jp/htmldata/H14/H14HO053.html,土壌汚染対策法
http://law.e-gov.go.jp/htmldata/H14/H14SE336.html,土壌汚染対策法施行令
http://law.e-gov.go.jp/htmldata/H14/H14F18001000029.html,土壌汚染対策法施行規則
http://law.e-gov.go.jp/htmldata/H14/H14F18001000023.html,土壌汚染対策法に基づく指定調査機関及び指定支援法人に関する省令
http://law.e-gov.go.jp/htmldata/S37/S37HO100.html,建築物用地下水の採取の規制に関する法律
http://law.e-gov.go.jp/htmldata/S37/S37SE335.html,建築物用地下水の採取の規制に関する法律施行令
http://law.e-gov.go.jp/htmldata/S37/S37F04201000022.html,建築物用地下水の採取の規制に関する法律施行規則
http://law.e-gov.go.jp/htmldata/H11/H11HO081.html,住宅の品質確保の促進等に関する法律
http://law.e-gov.go.jp/htmldata/H12/H12SE064.html,住宅の品質確保の促進等に関する法律施行令
http://law.e-gov.go.jp/htmldata/H12/H12F04201000020.html,住宅の品質確保の促進等に関する法律施行規則
http://law.e-gov.go.jp/htmldata/S27/S27HO176.html,宅地建物取引業法
http://law.e-gov.go.jp/htmldata/S39/S39SE383.html,宅地建物取引業法施行令
http://law.e-gov.go.jp/htmldata/S32/S32F04201000012.html,宅地建物取引業法施行規則
http://law.e-gov.go.jp/htmldata/H14/H14HO078.html,マンションの建替え等の円滑化に関する法律
http://law.e-gov.go.jp/htmldata/H14/H14SE367.html,マンションの建替え等の円滑化に関する法律施行令
http://law.e-gov.go.jp/htmldata/H14/H14F16001000116.html,マンションの建替え等の円滑化に関する法律施行規則
http://law.e-gov.go.jp/htmldata/S26/S26HO204.html,高圧ガス保安法
http://law.e-gov.go.jp/htmldata/H09/H09SE020.html,高圧ガス保安法施行令
http://law.e-gov.go.jp/htmldata/H09/H09SE021.html,高圧ガス保安法関係手数料令
http://law.e-gov.go.jp/htmldata/S41/S41F03801000053.html,一般高圧ガス保安規則
