"Date","Long-BRITISH POUND STERLING","Short-BRITISH POUND STERLING","Net-BRITISH POUND STERLING","Names","Unit"
2014-01-07,54679,36501,18178,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-01-14,54352,43192,11160,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-01-21,56573,47853,8720,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-01-28,63359,41187,22172,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-02-04,52098,41147,10951,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-02-11,53199,42527,10672,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-02-18,76271,53948,22323,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-02-25,74558,45756,28802,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-03-04,71021,41416,29605,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-03-11,64553,42554,21999,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-03-18,64141,38605,25536,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-03-25,66751,37027,29724,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-04-01,75969,42397,33572,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-04-08,91642,45165,46477,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-04-15,87472,36874,50598,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-04-22,89692,41892,47800,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-04-29,85913,41679,44234,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-05-06,83794,43148,40646,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-05-13,71168,39413,31755,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-05-20,80009,46919,33090,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-05-27,78438,43134,35304,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-06-03,79476,44502,34974,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-06-10,85202,49360,35842,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-06-17,100434,47838,52596,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-06-24,98098,48347,49751,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-07-01,99929,43517,56412,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-07-08,86614,44975,41639,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-07-15,85983,47213,38770,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-07-22,71792,44295,27497,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-07-29,75370,50460,24910,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-08-05,66437,54316,12121,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-08-12,65348,46549,18799,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-08-19,72230,58943,13287,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-08-26,71002,55535,15467,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-09-02,67538,58090,9448,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-09-09,81330,54603,26727,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-09-16,55617,62198,-6581,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-09-23,53691,54741,-1050,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-09-30,54243,50654,3589,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-10-07,46503,47578,-1075,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-10-14,43116,45953,-2837,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-10-21,36567,41052,-4485,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-10-28,40718,46965,-6247,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-11-04,43289,50751,-7462,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-11-11,40661,53552,-12891,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-11-18,42865,65694,-22829,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-11-25,38541,69207,-30666,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-12-02,38556,69570,-31014,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-12-09,37695,61297,-23602,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-12-16,37861,52413,-14552,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-12-23,36615,51848,-15233,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-12-30,35072,54374,-19302,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2015-01-06,39156,64726,-25570,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-01-13,41920,79060,-37140,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-01-20,35319,81027,-45708,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-01-27,38649,83989,-45340,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-02-03,36220,78618,-42398,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-02-10,36798,75401,-38603,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-02-17,42999,71797,-28798,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-02-24,46741,68611,-21870,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-03-03,44563,71471,-26908,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-03-10,48053,80644,-32591,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-03-17,47155,85006,-37851,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-03-24,35938,74495,-38557,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-03-31,35143,71773,-36630,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-04-07,37641,71942,-34301,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-04-14,33993,70038,-36045,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-04-21,34830,64111,-29281,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-04-28,33239,67367,-34128,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-05-05,34304,59062,-24758,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-05-12,37511,68280,-30769,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-05-19,41132,64494,-23362,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-05-26,34696,60235,-25539,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-06-02,32769,58427,-25658,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-06-09,31014,59291,-28277,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-06-16,33877,59311,-25434,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-06-23,51530,73724,-22194,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-06-30,53656,66415,-12759,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-07-07,39583,62556,-22973,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-07-14,32162,56361,-24199,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-07-21,35141,56609,-21468,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-07-28,43795,53583,-9788,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-08-04,45748,52305,-6557,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-08-11,41751,52122,-10371,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-08-18,52030,56001,-3971,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-08-25,58051,54752,3299,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-09-01,47801,59040,-11239,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-09-08,43509,61147,-17638,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-09-15,43206,46825,-3619,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-09-22,45001,43734,1267,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-09-29,49815,51862,-2047,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-10-06,47700,52233,-4533,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-10-13,44765,52292,-7527,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-10-20,53477,45940,7537,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-10-27,47986,43852,4134,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-11-03,45775,45587,188,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-11-10,39369,55139,-15770,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-11-17,35107,60367,-25260,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-11-24,32322,64578,-32256,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-12-01,38403,66661,-28258,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-12-08,41633,65535,-23902,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-12-15,39121,56041,-16920,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-12-22,42075,68736,-26661,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2015-12-29,40476,71498,-31022,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-01-05,44662,75158,-30496,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-01-12,34294,64815,-30521,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-01-19,37863,76442,-38579,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-01-26,34696,82233,-47537,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-02-02,32737,77755,-45018,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-02-09,31025,67325,-36300,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-02-16,36512,72767,-36255,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-02-23,35479,68547,-33068,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-03-01,38965,78343,-39378,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-03-08,29364,78369,-49005,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-03-15,62876,76495,-13619,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-03-22,38526,76249,-37723,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-03-29,38926,78954,-40028,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-04-05,39574,86080,-46506,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-04-12,33848,85158,-51310,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-04-19,32765,87917,-55152,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-04-26,40431,89100,-48669,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-05-03,46105,86513,-40408,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-05-10,37628,72563,-34935,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-05-17,37533,75955,-38422,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-05-24,38557,71392,-32835,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-05-31,36546,69397,-32851,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-06-07,36337,102636,-66299,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-06-14,61706,98367,-36661,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-06-21,41707,93654,-51947,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-06-28,43274,85985,-42711,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-07-05,45746,94777,-49031,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-07-12,39999,100066,-60067,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-07-19,27959,102345,-74386,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-07-26,29819,110391,-80572,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-08-02,33375,115890,-82515,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-08-09,35523,125605,-90082,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-08-16,35890,130128,-94238,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-08-23,35850,130828,-94978,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-08-30,39648,132133,-92485,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-09-06,38785,128754,-89969,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-09-13,40397,123218,-82821,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-09-20,69233,127919,-58686,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-09-27,48177,135891,-87714,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-10-04,56760,154332,-97572,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-10-11,50393,145863,-95470,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-10-18,52575,144133,-91558,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-10-25,63601,147563,-83962,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-11-01,63739,146700,-82961,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-11-08,53211,143056,-89845,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-11-15,54241,134554,-80313,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-11-22,54209,128527,-74318,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-11-29,50806,128941,-78135,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-12-06,43169,120407,-77238,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-12-13,40515,112858,-72343,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-12-20,44152,103502,-59350,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2016-12-27,50062,107161,-57099,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-01-03,55482,120224,-64742,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-01-10,56742,122573,-65831,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-01-17,55242,121484,-66242,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-01-24,51521,114693,-63172,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-01-31,42232,104004,-61772,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-02-07,38135,102674,-64539,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-02-14,39039,104567,-65528,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-02-21,38253,104605,-66352,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-02-28,43329,114000,-70671,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-03-07,61847,143284,-81437,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-03-14,42367,149484,-107117,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-03-21,32586,140430,-107844,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-03-28,35055,139130,-104075,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-04-04,30741,130414,-99673,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-04-11,31871,137772,-105901,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-04-18,48348,147838,-99490,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-04-25,54050,145232,-91182,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-05-02,54281,135645,-81364,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-05-09,44910,91708,-46798,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-05-16,48369,81364,-32995,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-05-23,49166,73033,-23867,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-05-30,45574,75225,-29651,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-06-06,40147,76863,-36716,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-06-13,40552,79993,-39441,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-06-20,50625,88229,-37604,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-06-27,43707,82840,-39133,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-07-03,54025,81792,-27767,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-07-11,46614,70752,-24138,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-07-18,50883,67356,-16473,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-07-25,52152,78349,-26197,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-08-01,58857,88309,-29452,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-08-08,58617,83777,-25160,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-08-15,63810,95670,-31860,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
2017-08-22,61484,107384,-45900,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
