Date,総数:自殺者数:人口動態統計,男:自殺者数:人口動態統計,女:自殺者数:人口動態統計
1947/1/1,12262,7108,5154
1948/1/1,12753,7331,5422
1949/1/1,14201,8391,5810
1950/1/1,16311,9820,6491
1951/1/1,15415,9035,6380
1952/1/1,15776,9171,6605
1953/1/1,17731,10450,7281
1954/1/1,20635,12641,7994
1955/1/1,22477,13836,8641
1956/1/1,22107,13222,8885
1957/1/1,22136,13276,8860
1958/1/1,23641,13895,9746
1959/1/1,21090,12179,8911
1960/1/1,20143,11506,8637
1961/1/1,18446,10333,8113
1962/1/1,16724,9541,7183
1963/1/1,15490,8923,6567
1964/1/1,14707,8336,6371
1965/1/1,14444,8330,6114
1966/1/1,15050,8450,6600
1967/1/1,14121,7940,6181
1968/1/1,14601,8174,6427
1969/1/1,14844,8241,6603
1970/1/1,15728,8761,6967
1971/1/1,16239,9157,7082
1972/1/1,18015,10231,7784
1973/1/1,18859,10730,8129
1974/1/1,19105,10723,8382
1975/1/1,19975,11744,8231
1976/1/1,19786,11744,8042
1977/1/1,20269,12299,7970
1978/1/1,20199,12409,7790
1979/1/1,20823,12851,7972
1980/1/1,20542,12769,7773
1981/1/1,20096,12708,7388
1982/1/1,20668,13203,7465
1983/1/1,24985,16876,8109
1984/1/1,24344,16251,8093
1985/1/1,23383,15356,8027
1986/1/1,25667,16499,9168
1987/1/1,23831,15281,8550
1988/1/1,22795,14290,8505
1989/1/1,21125,12939,8186
1990/1/1,20088,12316,7772
1991/1/1,19875,12477,7398
1992/1/1,20893,13516,7377
1993/1/1,20516,13540,6976
1994/1/1,20923,14058,6865
1995/1/1,21420,14231,7189
1996/1/1,22138,14853,7285
1997/1/1,23494,15901,7593
1998/1/1,31755,22349,9406
1999/1/1,31413,22402,9011
2000/1/1,30251,21656,8595
2001/1/1,29375,21085,8290
2002/1/1,29949,21677,8272
2003/1/1,32109,23396,8713
2004/1/1,30247,21955,8292
2005/1/1,30553,22236,8317
2006/1/1,29921,21419,8502
2007/1/1,30827,22007,8820
2008/1/1,30229,21546,8683
2009/1/1,30707,22189,8518
2010/1/1,29554,21028,8526
2011/1/1,28896,19904,8992
2012/1/1,26433,18485,7948
2013/1/1,26063,18158,7905
2014/1/1,24417,16875,7542
2015/1/1,23152,16202,6950
