"Date","マネーストック(月次):M2/平残前年比/マネーストック(2004年3月以前はマネーサプライ)(%)","マネーストック(月次):M3/平残前年比/マネーストック(2004年3月以前はマネーサプライ)(%)","マネーストック(月次):_M1/平残前年比/マネーストック(2004年3月以前はマネーサプライ)(%)","マネーストック(月次):広義流動性/平残前年比/マネーストック(2004年3月以前はマネーサプライ)(%)","マネーストック(月次):__現金通貨/平残前年比/マネーストック(2004年3月以前はマネーサプライ)(%)","マネーストック(月次):__預金通貨/平残前年比/マネーストック(2004年3月以前はマネーサプライ)(%)","マネーストック(月次):_準通貨/平残前年比/マネーストック(2004年3月以前はマネーサプライ)(%)","マネーストック(月次):_CD/平残前年比/マネーストック(2004年3月以前はマネーサプライ)(%)","マネーストック(月次):M2/平/マネーストック(億円)","マネーストック(月次):M3/平/マネーストック(億円)","マネーストック(月次):_M1/平/マネーストック(億円)","マネーストック(月次):広義流動性/平/マネーストック(億円)","マネーストック(月次):__現金通貨/平/マネーストック(億円)","マネーストック(月次):__預金通貨/平/マネーストック(億円)","マネーストック(月次):_準通貨/平/マネーストック(億円)","マネーストック(月次):_CD/平/マネーストック(億円)"
1980-01-01,10.6,,6.5,,8.6,6,11.7,,,,,,,,,
1980-02-01,10.8,,7,,9.2,6.4,11.6,,,,,,,,,
1980-03-01,10.6,,8.1,,9.7,7.6,11,,,,,,,,,
1980-04-01,10.4,,7,,9.5,6.4,11.1,,,,,,,,,
1980-05-01,10.3,,4.1,,7.9,3.2,12.4,1022.8,,,,,,,,
1980-06-01,9.6,,3,,8.2,1.6,12,284.4,,,,,,,,
1980-07-01,8.8,,0.5,,6.3,-1,12.1,186.4,,,,,,,,
1980-08-01,8.3,,-1.2,,4.9,-2.9,12.5,118.8,,,,,,,,
1980-09-01,8,,-0.1,,4.8,-1.4,11.7,89.6,,,,,,,,
1980-10-01,7.6,,-0.8,,4.2,-2.1,11.5,63.5,,,,,,,,
1980-11-01,7.9,,-0.9,,4,-2.2,11.9,64.6,,,,,,,,
1980-12-01,7.8,,-1.5,,3.1,-2.9,12.7,57.4,,,,,,,,
1981-01-01,7.4,,-1.8,10.8,2.9,-3.1,11.9,56.5,,,,,,,,
1981-02-01,7.6,,-1.1,10.8,2.4,-2.1,11.8,39.8,,,,,,,,
1981-03-01,7.7,,-1.5,10.9,2.2,-2.5,12.4,39.9,,,,,,,,
1981-04-01,7.9,,-4.1,10.9,0.8,-5.4,14.6,8.4,,,,,,,,
1981-05-01,7.5,,-0.3,10.8,2.4,-1,12,-13.4,,,,,,,,
1981-06-01,8.3,,3.3,11.4,2.9,3.4,11.4,-13,,,,,,,,
1981-07-01,9,,5.6,11.1,4.5,5.9,11,-5.1,,,,,,,,
1981-08-01,9.6,,6.7,11,5.2,7.1,11,13.6,,,,,,,,
1981-09-01,10.1,,7.3,11.2,5.5,7.8,11.2,29.9,,,,,,,,
1981-10-01,10.8,,8.3,11.3,5.9,9,11.4,44.7,,,,,,,,
1981-11-01,10.4,,8.2,11.5,6.3,8.7,10.9,46.1,,,,,,,,
1981-12-01,10.5,,10.1,11.4,6.9,11.2,10.1,47.1,,,,,,,,
1982-01-01,10.7,,7,11.4,5.1,7.6,12,41.4,,,,,,,,
1982-02-01,10.6,,6.3,11.1,6.1,6.3,12.2,38.1,,,,,,,,
1982-03-01,10.5,,7.1,11.1,6.2,7.3,11.7,43.9,,,,,,,,
1982-04-01,9.3,,8.2,10.8,7.6,8.4,9.2,64,,,,,,,,
1982-05-01,9.4,,6.5,11.1,7.9,6.1,10,77.6,,,,,,,,
1982-06-01,8.8,,4.9,10.5,7.3,4.3,9.9,65.4,,,,,,,,
1982-07-01,9.3,,5.6,10.7,7,5.2,10.2,63.7,,,,,,,,
1982-08-01,9,,5,10.6,7.3,4.3,10.1,56.4,,,,,,,,
1982-09-01,8.9,,5.3,10.6,7.7,4.6,9.9,47.4,,,,,,,,
1982-10-01,8.3,,4.7,10.3,7.9,3.8,9.3,39.7,,,,,,,,
1982-11-01,8,,4.4,9.9,8,3.4,9.2,32.7,,,,,,,,
1982-12-01,7.9,,4.9,9.9,7.1,4.3,8.9,34,,,,,,,,
1983-01-01,7.7,,6.7,10,7.9,6.3,7.6,34.9,,,,,,,,
1983-02-01,7.4,,6,10,8.4,5.3,7.6,35.5,,,,,,,,
1983-03-01,7.6,,5.6,10.1,8.1,4.9,7.9,45.5,,,,,,,,
1983-04-01,7.6,,4.5,9.7,6.8,3.8,8.1,64.2,,,,,,,,
1983-05-01,7.5,,3.6,9.4,5.6,3.1,8.4,57.7,,,,,,,,
1983-06-01,7.7,,3.8,9.7,5.8,3.3,8.6,50.2,,,,,,,,
1983-07-01,7.1,,3.1,9.6,5.3,2.4,8.2,36.8,,,,,,,,
1983-08-01,6.9,,2.5,9.8,5.3,1.7,8.1,35.4,,,,,,,,
1983-09-01,7.2,,3.2,9.8,5.1,2.6,8.2,44.4,,,,,,,,
1983-10-01,7.2,,2.2,10,5,1.4,8.5,40.6,,,,,,,,
1983-11-01,6.8,,0.8,9.9,4,-0.1,8.8,33.6,,,,,,,,
1983-12-01,7.6,,2.1,10,4,1.5,9.6,33.4,,,,,,,,
1984-01-01,7.6,,0.6,9.8,4.1,-0.5,9.9,44.5,,,,,,,,
1984-02-01,7.8,,1.3,9.9,4.2,0.5,9.4,66.2,,,,,,,,
1984-03-01,8.4,,2.7,10.1,3.4,2.5,9.6,76.5,,,,,,,,
1984-04-01,7.7,,2.3,9.7,3.9,1.8,8.8,59.1,,,,,,,,
1984-05-01,7.6,,2.1,9.5,3.8,1.6,8.7,54.2,,,,,,,,
1984-06-01,7.5,,1.9,9,3.4,1.5,8.6,54.5,,,,,,,,
1984-07-01,7.7,,2.8,9.1,5,2.2,8.5,53.6,,,,,,,,
1984-08-01,7.7,,2.7,9.3,3.6,2.5,8.5,51.4,,,,,,,,
1984-09-01,8.1,,4.4,9.5,4.1,4.4,8.5,44.1,,,,,,,,
1984-10-01,7.7,,3.4,9.3,3.6,3.3,8.2,46.1,,,,,,,,
1984-11-01,8.1,,4.7,9.3,4.8,4.6,8.2,49.6,,,,,,,,
1984-12-01,7.8,,4.9,9,4.1,5.2,7.8,51.4,,,,,,,,
1985-01-01,7.9,,6.3,9.2,6.3,6.3,7.4,47.5,,,,,,,,
1985-02-01,7.9,,5.9,9.2,5.9,5.9,7.8,37,,,,,,,,
1985-03-01,7.9,,6.4,9,6.6,6.4,7.9,27.3,,,,,,,,
1985-04-01,8.4,,4.6,9.4,6.3,4.1,9,36.8,,,,,,,,
1985-05-01,8.3,,4.8,9.3,7,4.2,8.8,33.7,,,,,,,,
1985-06-01,8.2,,4.9,9.3,6.4,4.5,8.7,30,,,,,,,,
1985-07-01,8.2,,4.6,9.5,6.2,4.1,8.8,31.9,,,,,,,,
1985-08-01,8.3,,5,9.7,6,4.7,8.7,27.8,,,,,,,,
1985-09-01,8.3,,4.5,9.3,6.3,4,9.1,24.8,,,,,,,,
1985-10-01,8.6,,4.5,9.3,6.4,4,10.3,7,,,,,,,,
1985-11-01,9.1,,4.3,9.5,7,3.4,11.1,5.7,,,,,,,,
1985-12-01,9.3,,4.6,9.6,7.4,3.8,11.5,5.2,,,,,,,,
1986-01-01,9,,4.3,9.6,6.8,3.5,11.2,5.1,,,,,,,,
1986-02-01,9,,4.3,9.6,6.8,3.5,10.8,11.1,,,,,,,,
1986-03-01,9,,3.9,9.6,6.7,3.1,11,9.6,,,,,,,,
1986-04-01,8.4,,6.4,9.5,5.9,6.5,9.7,-0.9,,,,,,,,
1986-05-01,8.4,,6.8,9.6,7.1,6.7,9.8,-7,,,,,,,,
1986-06-01,8.5,,7.1,9.3,7.6,6.9,9.9,-7.4,,,,,,,,
1986-07-01,8.7,,7.2,9.4,8,6.9,10.4,-11.9,,,,,,,,
1986-08-01,8.9,,8.5,9.3,9.5,8.2,10.4,-17.1,,,,,,,,
1986-09-01,8.9,,7.7,9.7,9.1,7.3,10.6,-17.9,,,,,,,,
1986-10-01,8.5,,8.5,9.6,9.3,8.2,9.3,-8.4,,,,,,,,
1986-11-01,8.3,,9.9,9.5,12.8,9,8.1,0.3,,,,,,,,
1986-12-01,8.2,,8.4,9.2,11.6,7.3,8.3,3,,,,,,,,
1987-01-01,8.6,,9.6,9.2,13.7,8.2,8.3,7.7,,,,,,,,
1987-02-01,8.8,,11.2,9.3,15.3,9.9,8.1,5.2,,,,,,,,
1987-03-01,9,,10.1,9.5,15.3,8.6,8.3,14.1,,,,,,,,
1987-04-01,9.8,,11.1,9.7,16.3,9.5,9.2,12.5,,,,,,,,
1987-05-01,10.2,,12.4,9.5,16.7,11.2,9.1,15.4,,,,,,,,
1987-06-01,10,,10.5,10,15.3,9.1,9.9,9.1,,,,,,,,
1987-07-01,10.3,,11,10.3,15.1,9.7,9.9,14.8,,,,,,,,
1987-08-01,11,,11.9,10.8,14.9,11,10,28.3,,,,,,,,
1987-09-01,11.1,,11.2,10.6,15.5,9.9,10.2,34.2,,,,,,,,
1987-10-01,11.7,,10.6,10.9,16.4,8.7,11.8,20.2,,,,,,,,
1987-11-01,12.4,,9.8,10.9,12.2,9.1,14,-6.2,,,,,,,,
1987-12-01,11.5,,6.8,10.3,8.9,6.1,14,-6.8,,,,,,,,
1988-01-01,11.9,,8.4,10.7,9.8,7.9,14,-4.9,,,,,,,,
1988-02-01,12.4,,9.8,11,10.9,9.5,14.1,-3.4,,,,,,,,
1988-03-01,11.8,,9.5,10.4,10.9,9,13.3,-3.7,,,,,,,,
1988-04-01,11.3,,9.2,10,12,8.3,12.8,-2.1,,,,,,,,
1988-05-01,11.4,,9.9,10.3,11.8,9.3,12.6,-1.7,,,,,,,,
1988-06-01,11.1,,8.1,9.7,11.2,7.1,12.7,3.3,,,,,,,,
1988-07-01,11.1,,7.5,9.6,10.5,6.5,13.3,-5,,,,,,,,
1988-08-01,10.9,,6.2,9.5,9.7,5,13.5,-5.7,,,,,,,,
1988-09-01,10.6,,6,9.3,9.7,4.8,12.8,2.5,,,,,,,,
1988-10-01,11,,7.3,9.4,9.3,6.7,12.3,13.6,,,,,,,,
1988-11-01,10.3,,9,9,9,9,10.3,26.1,,,,,,,,
1988-12-01,10.4,,10.3,9.3,9.4,10.6,9.7,36.6,,,,,,,,
1989-01-01,10,,8.6,9.2,10.1,8.1,10.2,20.1,,,,,,,,
1989-02-01,10.4,,9.8,9.4,10.7,9.5,10.6,14.1,,,,,,,,
1989-03-01,10.3,,9.8,9.5,9.5,9.9,10.4,14.9,,,,,,,,
1989-04-01,10.2,,7.8,9.5,8.8,7.5,11.3,7.6,,,,,,,,
1989-05-01,9.4,,5.1,8.9,9.4,3.7,11.3,3.9,,,,,,,,
1989-06-01,9.4,,3.3,9.1,10,1.1,11.7,10.1,,,,,,,,
1989-07-01,9.8,,2.8,9.4,9.9,0.4,12.2,15.6,,,,,,,,
1989-08-01,9.6,,2.7,9.5,10.2,0.1,12.3,4.2,,,,,,,,
1989-09-01,9.6,,3,9.5,10.5,0.5,12.3,1.2,,,,,,,,
1989-10-01,9.6,,1.6,9.5,10.2,-1.3,12.7,0.3,,,,,,,,
1989-11-01,9.9,,-2,9.7,10.6,-6.1,14,14.8,,,,,,,,
1989-12-01,10.6,,-2,10,10.3,-6.3,15.2,20.1,,,,,,,,
1990-01-01,11.5,,0.5,10.3,11.9,-3.6,15.3,19.5,,,,,,,,
1990-02-01,11.8,,0.7,10.4,9.6,-2.3,16,9.4,,,,,,,,
1990-03-01,11.6,,0.8,10.3,9,-2,15.8,9.4,,,,,,,,
1990-04-01,13.2,,2.2,11.2,13.5,-1.6,17.4,12.4,,,,,,,,
1990-05-01,13.2,,-0.6,10.8,8.3,-3.6,18.9,-1.4,,,,,,,,
1990-06-01,12.6,,1.9,10.3,7.3,0.1,17.4,-16.2,,,,,,,,
1990-07-01,12.2,,4.9,9.8,7.4,3.9,16,-23,,,,,,,,
1990-08-01,11.9,,2.6,9,6.7,1,16.1,-19.5,,,,,,,,
1990-09-01,12,,3.3,8.8,6.6,2,15.9,-17.7,,,,,,,,
1990-10-01,11.8,,4.2,9,6.6,3.3,15.2,-16.9,,,,,,,,
1990-11-01,9.9,,4.4,8,5.7,3.9,12.7,-20.9,,,,,,,,
1990-12-01,8.5,,6.2,7.4,5.3,6.5,10.4,-19.1,,,,,,,,
1991-01-01,7.4,,5.1,7.1,3.6,5.7,9.2,-20.6,,,,,,,,
1991-02-01,5.5,,1,6.1,2.7,0.3,7.6,-13.1,,,,,,,,
1991-03-01,5.1,,1.2,5.7,3.1,0.5,7,-12.6,,,,,,,,
1991-04-01,3.8,,0.3,4.9,-0.7,0.7,5.7,-15.2,,,,,,,,
1991-05-01,3.6,,3.2,5,2.4,3.4,4.1,-10.1,,,,,,,,
1991-06-01,3.7,,6.6,5.3,3.7,7.6,3.1,-4.6,,,,,,,,
1991-07-01,3.4,,6.1,5.2,2.9,7.3,2.8,-7.6,,,,,,,,
1991-08-01,2.7,,7.2,5.2,2.2,9.3,1.7,-7.4,,,,,,,,
1991-09-01,2.2,,6.4,4.9,2.3,7.9,1.2,-5.7,,,,,,,,
1991-10-01,2.1,,7.5,4.6,2.4,9.5,0.9,-9.2,,,,,,,,
1991-11-01,2.4,,9.3,5,2.4,12,0.8,-10.3,,,,,,,,
1991-12-01,2,,8.8,4.7,2.4,11.3,0.2,-11.8,,,,,,,,
1992-01-01,1.8,,7.6,4.4,2.6,9.6,0.6,-16.7,,,,,,,,
1992-02-01,1.6,,7.4,4.4,2.7,9.2,0.4,-18.3,,,,,,,,
1992-03-01,1.8,,7.5,4.4,2.2,9.5,0.5,-19,,,,,,,,
1992-04-01,1.6,,7,4.4,1.2,9.2,0.3,-13.9,,,,,,,,
1992-05-01,1.1,,6.9,4.3,2,8.7,-0.4,-8.8,,,,,,,,
1992-06-01,0.9,,3.2,3.8,1.4,3.9,0.2,0.1,,,,,,,,
1992-07-01,0.2,,2.9,3.5,2.2,3.2,-0.6,-5.3,,,,,,,,
1992-08-01,0.3,,3.7,3.2,3.1,3.9,-0.7,1.1,,,,,,,,
1992-09-01,-0.5,,2.9,2.6,2.7,3,-1.5,-2.6,,,,,,,,
