"Date","貸出・預金動向(月次):総貸出平残(銀行・信金計)(a)(億円)","貸出・預金動向(月次):総貸出平残(銀行計)(億円)","貸出・預金動向(月次):総貸出平残(銀行計)前年比(%)","貸出・預金動向(月次):総貸出平残/都銀等(b)(億円)","貸出・預金動向(月次):総貸出平残/地銀・地銀II(億円)","貸出・預金動向(月次):総貸出平残/地銀(億円)","貸出・預金動向(月次):総貸出平残/地銀II(億円)","貸出・預金動向(月次):総貸出平残/信金(c)(億円)","貸出・預金動向(月次):総貸出平残/(参考)外銀(円貸出)(億円)","貸出・預金動向(月次):総貸出平残/その他国内対象銀行(d)(億円)"
1991-07-01,,5020841,,3383089,1637752,1160147,477605,,,
1991-08-01,,5032581,,3388548,1644033,1164382,479651,,,
1991-09-01,,5056858,,3401658,1655200,1172721,482479,,,
1991-10-01,,5048236,,3396571,1651665,1168866,482799,,,
1991-11-01,,5057251,,3403312,1653939,1170863,483076,,,
1991-12-01,,5130659,,3435811,1694848,1203665,491183,,,
1992-01-01,,5127702,,3431309,1696393,1204454,491939,,,
1992-02-01,,5119189,,3430316,1688873,1199124,489749,,,
1992-03-01,,5162639,,3453179,1709460,1215532,493928,,,
1992-04-01,,5142986,,3442623,1700363,1209015,491348,,,
1992-05-01,,5113226,,3426985,1686241,1198160,488081,,,
1992-06-01,,5122891,,3435094,1687797,1198669,489128,,,
1992-07-01,,5153441,2.6,3447666,1705775,1212409,493366,,,
1992-08-01,,5156351,2.5,3442884,1713467,1217340,496127,,,
1992-09-01,,5169534,2.2,3447625,1721909,1224801,497108,,,
1992-10-01,,5159634,2.2,3435782,1723852,1225999,497853,,,
1992-11-01,,5159721,2,3435256,1724465,1226531,497934,,,
1992-12-01,,5229773,1.9,3477850,1751923,1248464,503459,,,
1993-01-01,,5230225,2,3479265,1750960,1248276,502684,,,
1993-02-01,,5208556,1.7,3465319,1743237,1243569,499668,,,
1993-03-01,,5228388,1.3,3475390,1752998,1252196,500802,,,
1993-04-01,,5200633,1.1,3458154,1742479,1245583,496896,,,
1993-05-01,,5179088,1.3,3449748,1729340,1236439,492901,,,
1993-06-01,,5173998,1,3453574,1720424,1227756,492668,,,
1993-07-01,,5203239,1,3469789,1733450,1237327,496123,,,
1993-08-01,,5198872,0.8,3462146,1736726,1239841,496885,,,
1993-09-01,,5215519,0.9,3467315,1748204,1249547,498657,,,
1993-10-01,,5199998,0.8,3452493,1747505,1247583,499922,,,
1993-11-01,,5187077,0.5,3441842,1745235,1247062,498173,,,
1993-12-01,,5254136,0.5,3480180,1773956,1269164,504792,,,
1994-01-01,,5253628,0.4,3477592,1776036,1271113,504923,,,
1994-02-01,,5230012,0.4,3465540,1764472,1262712,501760,,,
1994-03-01,,5253116,0.5,3473188,1779928,1275158,504770,,,
1994-04-01,,5213161,0.2,3441405,1771756,1266827,504929,,,
1994-05-01,,5180975,0,3423567,1757408,1256853,500555,,,
1994-06-01,,5163878,-0.2,3421034,1742844,1242161,500683,,,
1994-07-01,,5185055,-0.3,3429825,1755230,1250995,504235,,,
1994-08-01,,5185957,-0.2,3426951,1759006,1253333,505673,,,
1994-09-01,,5207553,-0.2,3435319,1772234,1263714,508520,,,
1994-10-01,,5188860,-0.2,3411096,1777764,1266062,511702,,,
1994-11-01,,5183321,-0.1,3405592,1777729,1266504,511225,,,
1994-12-01,,5241934,-0.2,3438683,1803251,1284796,518455,,,
1995-01-01,,5238156,-0.3,3428770,1809386,1289863,519523,,,
1995-02-01,,5222084,-0.2,3420197,1801887,1285260,516627,,,
1995-03-01,,5252232,0,3436313,1815919,1297194,518725,,,
1995-04-01,,5207717,-0.1,3402929,1804788,1286457,518331,,,
1995-05-01,,5190149,0.2,3397231,1792918,1278875,514043,,,
1995-06-01,,5187577,0.5,3403604,1783973,1268938,515035,,,
1995-07-01,,5226075,0.8,3425848,1800227,1279931,520296,,,
1995-08-01,,5246633,1.2,3435419,1811214,1287294,523920,,,
1995-09-01,,5290748,1.6,3461618,1829130,1301560,527570,,,
1995-10-01,,5279523,1.7,3449200,1830323,1302619,527704,,49423,
1995-11-01,,5287394,2,3452275,1835119,1308156,526963,,52078,
1995-12-01,,5351547,2.1,3489501,1862046,1329182,532864,,54032,
1996-01-01,,5354380,2.2,3484594,1869786,1336637,533149,,52675,
1996-02-01,,5337859,2.2,3479160,1858699,1335143,523556,,51912,
1996-03-01,,5365558,2.2,3493419,1872139,1347065,525074,,56422,
1996-04-01,,5288642,1.6,3431829,1856813,1334681,522132,,59709,
1996-05-01,,5265694,1.5,3422140,1843554,1325777,517777,,57438,
1996-06-01,,5258817,1.4,3426510,1832307,1314826,517481,,54884,
1996-07-01,,5278870,1,3438686,1840184,1321241,518943,,54984,
1996-08-01,,5284932,0.7,3438608,1846324,1326071,520253,,56659,
1996-09-01,,5302448,0.2,3445996,1856452,1335747,520705,,59694,
1996-10-01,,5255163,-0.5,3404276,1850887,1331355,519532,,62529,
1996-11-01,,5260891,-0.5,3408126,1852765,1333492,519273,,59954,
1996-12-01,,5332706,-0.4,3454159,1878547,1352605,525942,,59779,
1997-01-01,,5346567,-0.1,3457625,1888942,1359913,529029,,58164,
1997-02-01,,5330762,-0.1,3449259,1881503,1354973,526530,,58247,
1997-03-01,,5355067,-0.2,3464152,1890915,1363496,527419,,67704,
1997-04-01,,5288244,0,3411669,1876575,1350908,525667,,69105,
1997-05-01,,5261066,-0.1,3397250,1863816,1344086,519730,,74303,
1997-06-01,,5252683,-0.1,3402651,1850032,1331627,518405,,69554,
1997-07-01,,5272873,-0.1,3410873,1862000,1340722,521278,,67563,
1997-08-01,,5272500,-0.2,3401993,1870507,1347035,523472,,66405,
1997-09-01,,5274435,-0.5,3394250,1880185,1355533,524652,,69111,
1997-10-01,,5232872,-0.4,3353629,1879243,1354102,525141,,74502,
1997-11-01,,5256620,-0.1,3370992,1885628,1360443,525185,,69082,
1997-12-01,,5332930,0,3426132,1906798,1377767,529031,,63787,
1998-01-01,,5333737,-0.2,3423158,1910579,1382030,528549,,59359,
1998-02-01,,5298461,-0.6,3399272,1899189,1377244,521945,,62205,
1998-03-01,,5266466,-1.7,3361545,1904921,1382483,522438,,67145,
1998-04-01,,5158204,-2.5,3273497,1884707,1366123,518584,,67967,
1998-05-01,,5146338,-2.2,3277494,1868844,1355264,513580,,63344,
1998-06-01,,5133703,-2.3,3283748,1849955,1338522,511433,,64831,
1998-07-01,,5155758,-2.2,3299580,1856178,1344253,511925,,60544,
1998-08-01,,5152316,-2.3,3292064,1860252,1347453,512799,,61659,
1998-09-01,,5132391,-2.7,3265583,1866808,1354062,512746,,61246,
1998-10-01,,5062037,-3.3,3198546,1863491,1353574,509917,,58913,
1998-11-01,,5047958,-4,3166566,1881392,1362654,518738,,59561,
1998-12-01,,5083423,-4.7,3175507,1907916,1375772,532144,,56705,
1999-01-01,,5090992,-4.6,3172865,1918127,1383322,534805,,57819,
1999-02-01,,5075030,-4.2,3164074,1910956,1378385,532571,,61296,
1999-03-01,,5061318,-3.9,3144548,1916770,1385420,531350,,63195,
1999-04-01,,4886437,-5.3,3003564,1882873,1364010,518863,,70244,
1999-05-01,,4867086,-5.4,3003233,1863853,1349809,514044,,68568,
1999-06-01,,4837470,-5.8,2997960,1839510,1329508,510002,,71788,
1999-07-01,,4840450,-6.1,3001869,1838581,1329108,509473,,72642,
1999-08-01,,4818680,-6.5,2981069,1837611,1328616,508995,,72480,
1999-09-01,,4811421,-6.3,2970638,1840783,1331884,508899,,71136,
1999-10-01,,4779271,-5.6,2945825,1833446,1326689,506757,,73419,
1999-11-01,,4760799,-5.7,2927520,1833279,1328926,504353,,71973,
1999-12-01,,4784120,-5.9,2938368,1845752,1339504,506248,,69437,
2000-01-01,5484449,4783074,-6,2933650,1849424,1343323,506101,701375,65119,
2000-02-01,5451984,4755277,-6.3,2913748,1841529,1338566,502963,696707,61202,
2000-03-01,5454731,4761124,-5.9,2911760,1849364,1346252,503112,693607,64253,
2000-04-01,5365023,4682558,-4.2,2862339,1820219,1339318,480901,682465,62970,
2000-05-01,5315059,4638740,-4.7,2831357,1807383,1330721,476662,676319,60496,
2000-06-01,5284831,4611376,-4.7,2820061,1791315,1318292,473023,673455,60109,
2000-07-01,5293314,4619661,-4.6,2821671,1797990,1323993,473997,673653,58709,
2000-08-01,5286811,4613150,-4.3,2814544,1798606,1325319,473287,673661,64549,
2000-09-01,5292620,4618280,-4,2813483,1804797,1331174,473623,674340,69096,
2000-10-01,5261023,4586880,-4,2792430,1794450,1322062,472388,674143,74161,
2000-11-01,5243059,4570114,-4,2774193,1795921,1323870,472051,672945,77836,
2000-12-01,5278528,4604646,-3.8,2793900,1810746,1335249,475497,673882,80695,
2001-01-01,5275383,4608226,-3.7,2794561,1813665,1336428,477237,667157,82248,
2001-02-01,5245235,4582622,-3.6,2783243,1799379,1332185,467194,662613,84696,
2001-03-01,5249357,4587687,-3.6,2785065,1802622,1342344,460278,661670,81917,
2001-04-01,5174649,4520873,-3.5,2741102,1779771,1323689,456082,653776,80672,
2001-05-01,5111662,4463858,-3.8,2701970,1761888,1313862,448026,647804,78247,
2001-06-01,5082013,4436223,-3.8,2691842,1744381,1307901,436480,645790,75292,
2001-07-01,5078507,4432538,-4.1,2684005,1748533,1311130,437403,645969,70276,
2001-08-01,5063955,4418210,-4.2,2669955,1748255,1310507,437748,645745,64967,
2001-09-01,5071253,4425038,-4.2,2670044,1754994,1315727,439267,646215,64270,
2001-10-01,5041567,4396647,-4.1,2646323,1750324,1310810,439514,644920,68399,
2001-11-01,5018864,4374832,-4.3,2622748,1752084,1313347,438737,644032,69985,
2001-12-01,5053756,4406385,-4.3,2638888,1767497,1325998,441499,647371,79030,
2002-01-01,5041172,4394848,-4.6,2625317,1769531,1327650,441881,646324,80970,
2002-02-01,5008427,4367426,-4.7,2604407,1763019,1323904,439115,641001,80936,
2002-03-01,5010375,4372894,-4.7,2600916,1771978,1331832,440146,637481,92850,
2002-04-01,4928885,4298145,-4.9,2549694,1748451,1313252,435199,630740,99558,
2002-05-01,4879063,4253680,-4.7,2518023,1735657,1304643,431014,625383,98054,
2002-06-01,4855971,4234253,-4.6,2502945,1731308,1302203,429105,621718,93134,
2002-07-01,4848453,4225601,-4.7,2494159,1731442,1302492,428950,622852,86489,
2002-08-01,4839091,4215416,-4.6,2479482,1735934,1305908,430026,623675,83101,
2002-09-01,4830941,4208979,-4.9,2467160,1741819,1311064,430755,621962,74728,
2002-10-01,4790962,4165753,-5.3,2428443,1737310,1307255,430055,625209,71060,
2002-11-01,4790408,4165375,-4.8,2425813,1739562,1310347,429215,625033,70803,
2002-12-01,4824452,4196529,-4.8,2443831,1752698,1320445,432253,627923,69690,
2003-01-01,4811219,4182906,-4.8,2426378,1756528,1323513,433015,628313,67978,
2003-02-01,4782365,4157796,-4.8,2407241,1750555,1319570,430985,624569,70244,
2003-03-01,4797146,4173125,-4.6,2415126,1757999,1331187,426812,624021,74024,
2003-04-01,4716152,4096420,-4.7,2358134,1738286,1325908,412378,619732,73301,
2003-05-01,4669636,4053606,-4.7,2330809,1722797,1314106,408691,616030,68987,
2003-06-01,4649526,4034394,-4.7,2320587,1713807,1306461,407346,615132,70650,
2003-07-01,4637133,4022340,-4.8,2303853,1718487,1309747,408740,614793,70078,
2003-08-01,4610003,3992645,-5.3,2271267,1721378,1311648,409730,617358,63658,
2003-09-01,4616279,3997830,-5,2268139,1729691,1318703,410988,618449,63627,
2003-10-01,4583729,3964065,-4.8,2238659,1725406,1313733,411673,619664,63116,
2003-11-01,4573355,3953376,-5.1,2227684,1725692,1315180,410512,619979,61540,
2003-12-01,4603190,3980203,-5.2,2241871,1738332,1324157,414175,622987,57952,
2004-01-01,4590763,3967113,-5.2,2226850,1740263,1324462,415801,623650,56573,
2004-02-01,4570613,3950190,-5,2215865,1734325,1320504,413821,620423,54469,
2004-03-01,4592409,3972155,-4.8,2229570,1742585,1327285,415300,620254,56749,
2004-04-01,4522797,3907356,-4.6,2183183,1724173,1311320,412853,615441,56125,
2004-05-01,4495678,3883668,-4.2,2167873,1715795,1306066,409729,612010,55116,
2004-06-01,4473516,3862976,-4.2,2158509,1704467,1296437,408030,610540,52429,
2004-07-01,4474324,3862408,-4,2155365,1707043,1298721,408322,611916,45971,
2004-08-01,4475559,3863043,-3.2,2156911,1706132,1298461,407671,612516,44696,
2004-09-01,4484033,3870088,-3.2,2158216,1711872,1303295,408577,613945,43015,
2004-10-01,4452219,3836292,-3.2,2127733,1708559,1317993,390566,615927,41982,
2004-11-01,4434426,3819637,-3.4,2110219,1709418,1319701,389717,614789,42176,
2004-12-01,4470343,3851497,-3.2,2124573,1726924,1333672,393252,618846,39892,
2005-01-01,4461622,3842261,-3.1,2111355,1730906,1336745,394161,619361,38961,
2005-02-01,4442531,3826378,-3.1,2099637,1726741,1334336,392405,616153,37954,
2005-03-01,4471461,3854534,-3,2114495,1740039,1345885,394154,616927,38298,
2005-04-01,4414305,3800545,-2.7,2073503,1727042,1332926,394116,613760,38806,
2005-05-01,4385784,3775651,-2.8,2055762,1719889,1328704,391185,610133,39339,
2005-06-01,4369680,3759489,-2.7,2043556,1715933,1324732,391201,610191,39968,
2005-07-01,4382122,3770418,-2.4,2044377,1726041,1331965,394076,611704,39523,
2005-08-01,4391219,3778858,-2.2,2049102,1729756,1334748,395008,612361,38668,
2005-09-01,4413003,3798496,-1.8,2062530,1735966,1339789,396177,614507,40383,
2005-10-01,4425268,3808156,-0.7,2070104,1738052,1340546,397506,617112,42487,
2005-11-01,4410879,3794552,-0.7,2056808,1737744,1340790,396954,616327,40597,
2005-12-01,4459381,3838568,-0.3,2076770,1761798,1359905,401893,620813,41512,
2006-01-01,4461243,3840225,-0.1,2074279,1765946,1364005,401941,621018,42233,
2006-02-01,4451939,3832586,0.2,2071391,1761195,1360358,400837,619353,44758,
2006-03-01,4483121,3861998,0.2,2085592,1776406,1373100,403306,621123,48405,
2006-04-01,4464695,3844783,1.2,2075067,1769716,1365506,404210,619912,52301,
2006-05-01,4436340,3819526,1.2,2053466,1766060,1363401,402659,616814,66972,
2006-06-01,4444038,3826651,1.8,2058327,1768324,1364958,403366,617387,72175,
2006-07-01,4469911,3850380,2.1,2071315,1779065,1372833,406232,619531,79000,
2006-08-01,4469587,3849240,1.9,2068090,1781150,1374473,406677,620347,79912,
2006-09-01,4479040,3857288,1.5,2069883,1787405,1379438,407967,621752,78027,
2006-10-01,4470394,3847691,1,2062142,1785549,1379421,406128,622703,76204,
2006-11-01,4460316,3837750,1.1,2053704,1784046,1379343,404703,622566,73344,
2006-12-01,4532514,3905989,1.8,2100380,1805609,1396701,408908,626525,70269,
2007-01-01,4535444,3908541,1.8,2099221,1809320,1399165,410155,626903,65860,
2007-02-01,4507839,3884095,1.3,2079373,1804722,1396635,408087,623744,65742,
2007-03-01,4527322,3902378,1,2086847,1815531,1406221,409310,624944,65829,
2007-04-01,4505264,3882244,1,2069667,1812577,1403052,409525,623020,67081,
2007-05-01,4473496,3854296,0.9,2050184,1804112,1396328,407784,619200,68900,
2007-06-01,4473622,3853975,0.7,2047972,1806003,1398448,407555,619647,67229,
2007-07-01,4483206,3862517,0.3,2050497,1812020,1403379,408641,620689,59454,
2007-08-01,4491183,3869631,0.5,2051287,1818344,1408380,409964,621552,61879,
2007-09-01,4507028,3883417,0.7,2057097,1826320,1415257,411063,623611,65236,
2007-10-01,4499466,3875457,0.7,2048220,1827237,1414590,412647,624009,65517,
2007-11-01,4485094,3862316,0.6,2037200,1825116,1413575,411541,622778,68294,
2007-12-01,4537639,3911283,0.1,2063368,1847915,1431294,416621,626356,67578,
2008-01-01,4554569,3927783,0.5,2075220,1852563,1434188,418375,626786,60613,13893
2008-02-01,4542864,3918982,0.9,2068628,1850354,1433297,417057,623882,60664,13925
2008-03-01,4575413,3949535,1.2,2082139,1867396,1447663,419733,625878,68149,14055
2008-04-01,4557545,3931957,1.3,2065453,1866504,1445362,421142,625588,72270,14108
2008-05-01,4538516,3915962,1.6,2054981,1860981,1442419,418562,622554,71774,14282
2008-06-01,4552295,3929493,2,2065572,1863921,1445867,418054,622802,74806,14553
2008-07-01,4565394,3940872,2,2070636,1870236,1450821,419415,624522,76115,14726
2008-08-01,4572833,3947602,2,2072451,1875151,1455096,420055,625231,76364,15168
2008-09-01,4580197,3954244,1.8,2074562,1879682,1459033,420649,625953,75473,15964
2008-10-01,4593448,3965530,2.3,2076704,1888826,1466061,422765,627918,73062,16416
2008-11-01,4628486,4000930,3.6,2106199,1894731,1472430,422301,627556,71391,16304
2008-12-01,4703176,4070764,4.1,2149833,1920931,1495680,425251,632412,68430,16561
2009-01-01,4720022,4083700,4,2149929,1933771,1506217,427554,636322,64200,17632
2009-02-01,4702440,4067202,3.8,2134402,1932800,1506087,426713,635238,58183,18422
2009-03-01,4729933,4092266,3.6,2144984,1947282,1518660,428622,637667,51139,20284
2009-04-01,4708215,4070680,3.5,2128170,1942510,1514265,428245,637535,49971,21281
2009-05-01,4679655,4044931,3.3,2110525,1934406,1507534,426872,634724,49459,20882
2009-06-01,4662744,4028766,2.5,2102708,1926058,1500823,425235,633978,49554,21319
2009-07-01,4659856,4025785,2.2,2095253,1930532,1503860,426672,634071,48125,21750
2009-08-01,4654525,4020697,1.9,2090059,1930638,1503164,427474,633828,46788,21959
2009-09-01,4649757,4016035,1.6,2084334,1931701,1504005,427696,633722,44576,22044
2009-10-01,4659324,4025385,1.5,2090422,1934963,1505399,429564,633939,43633,22348
2009-11-01,4636249,4004490,0.1,2077922,1926568,1499243,427325,631759,42905,22842
2009-12-01,4655294,4021520,-1.2,2083999,1937521,1507919,429602,633774,43157,23449
2010-01-01,4649118,4015293,-1.7,2075821,1939472,1508645,430827,633825,43023,23532
2010-02-01,4632100,4001082,-1.6,2062903,1938179,1508062,430117,631018,42729,23709
2010-03-01,4642057,4010724,-2,2066636,1944088,1518139,425949,631333,42318,24367
2010-04-01,4624345,3995091,-1.9,2054956,1940135,1512857,427278,629254,42661,26126
2010-05-01,4585892,3960500,-2.1,2028041,1932459,1507536,424923,625392,43083,27830
2010-06-01,4568841,3943800,-2.1,2017223,1926577,1503328,423249,625041,42327,28283
2010-07-01,4574587,3949171,-1.9,2018152,1931019,1507135,423884,625416,39997,29302
2010-08-01,4565988,3941298,-2,2007492,1933806,1509761,424045,624690,38230,30024
2010-09-01,4566795,3941915,-1.8,2003622,1938293,1513002,425291,624880,38843,30758
2010-10-01,4568239,3942731,-2.1,1999395,1943336,1516345,426991,625508,38673,31149
2010-11-01,4542709,3919068,-2.1,1981211,1937857,1512454,425403,623641,37012,31501
2010-12-01,4564258,3938445,-2.1,1986368,1952077,1524096,427981,625813,34617,32791
2011-01-01,4564712,3937975,-1.9,1983193,1954782,1525624,429158,626737,31587,33057
2011-02-01,4545912,3921845,-2,1967985,1953860,1525985,427875,624067,30459,33290
2011-03-01,4562189,3936988,-1.8,1971799,1965189,1535667,429522,625201,29861,33530
2011-04-01,4580318,3955854,-1,1991947,1963907,1533426,430481,624464,28765,34139
2011-05-01,4550229,3929052,-0.8,1972707,1956345,1528416,427929,621177,28521,34343
2011-06-01,4540652,3919651,-0.6,1962864,1956787,1528860,427927,621001,28382,34542
2011-07-01,4549234,3927109,-0.6,1962981,1964128,1534720,429408,622125,27875,34425
2011-08-01,4543400,3921675,-0.5,1954878,1966797,1537504,429293,621725,27415,34673
2011-09-01,4552332,3929778,-0.3,1957132,1972646,1542273,430373,622554,25412,36539
2011-10-01,4568540,3945449,0.1,1966931,1978518,1546363,432155,623091,24813,36939
2011-11-01,4549935,3928529,0.2,1954244,1974285,1544192,430093,621406,24410,37165
2011-12-01,4580878,3957728,0.5,1966725,1991003,1558008,432995,623150,23516,37296
2012-01-01,4590104,3966623,0.7,1971361,1995262,1561002,434260,623481,22473,37297
2012-02-01,4572967,3951789,0.8,1958076,1993713,1561175,432538,621178,22118,37128
2012-03-01,4595782,3973519,0.9,1967021,2006498,1571424,435074,622263,21928,36196
2012-04-01,4590127,3969539,0.3,1965092,2004447,1568327,436120,620588,22197,36289
2012-05-01,4560615,3944087,0.4,1947269,1996818,1563616,433202,616528,22289,35146
2012-06-01,4567471,3950814,0.8,1949012,2001802,1567847,433955,616657,22492,35582
2012-07-01,4579541,3962827,0.9,1953089,2009738,1574824,434914,616714,21576,35276
2012-08-01,4580066,3963300,1.1,1947058,2016242,1580623,435619,616766,21424,35380
2012-09-01,4594309,3976197,1.2,1949846,2026351,1590962,435389,618112,21402,35432
2012-10-01,4604730,3986683,1,1958981,2027702,1594299,433403,618047,21207,35557
2012-11-01,4592753,3975633,1.2,1950781,2024852,1593023,431829,617120,21090,35649
2012-12-01,4631183,4011467,1.4,1971384,2040083,1605162,434921,619716,20809,35748
2013-01-01,4648635,4028379,1.6,1983804,2044575,1608901,435674,620256,20594,35848
2013-02-01,4640553,4022922,1.8,1979123,2043799,1609587,434212,617631,20592,35743
2013-03-01,4666126,4046794,1.8,1989775,2057019,1620472,436547,619332,20252,35999
2013-04-01,4669195,4050792,2,1995102,2055690,1617341,438349,618403,20079,36085
2013-05-01,4642919,4027523,2.1,1978717,2048806,1612813,435993,615396,19940,35524
2013-06-01,4651623,4035436,2.1,1979528,2055908,1619276,436632,616187,19675,35668
2013-07-01,4669729,4053088,2.3,1989178,2063910,1626298,437612,616641,19849,35755
2013-08-01,4670926,4053360,2.3,1983744,2069616,1631513,438103,617566,20030,35754
2013-09-01,4682956,4063992,2.2,1986303,2077689,1638338,439351,618964,20597,35791
2013-10-01,4696323,4075882,2.2,1992425,2083457,1641766,441691,620441,22986,35297
2013-11-01,4690766,4070300,2.4,1986327,2083973,1643347,440626,620466,22885,35666
2013-12-01,4736513,4112937,2.5,2010290,2102647,1658579,444068,623576,21616,36217
2014-01-01,4753585,4128413,2.5,2019440,2108973,1663106,445867,625172,21118,35750
2014-02-01,4742287,4119061,2.4,2011716,2107345,1662832,444513,623226,21380,35532
2014-03-01,4760586,4135716,2.2,2015057,2120659,1673461,447198,624870,22039,35446
2014-04-01,4763718,4138581,2.2,2016693,2121888,1672774,449114,625137,21574,35874
2014-05-01,4745553,4122868,2.4,2005298,2117570,1670523,447047,622685,21678,36221
2014-06-01,4759080,4135090,2.5,2006907,2128183,1680212,447971,623990,21727,36474
2014-07-01,4769929,4144689,2.3,2009762,2134927,1685043,449884,625240,21016,36404
2014-08-01,4771853,4145773,2.3,2004355,2141418,1690691,450727,626080,19527,36665
2014-09-01,4787988,4160597,2.4,2009758,2150839,1698455,452384,627391,19216,37137
2014-10-01,4805014,4175206,2.4,2017835,2157371,1702591,454780,629808,18696,36987
2014-11-01,4815275,4185418,2.8,2025483,2159935,1705302,454633,629857,18419,37138
2014-12-01,4858476,4225561,2.7,2044650,2180911,1722486,458425,632915,18865,37646
2015-01-01,4869886,4235483,2.6,2047329,2188154,1728055,460099,634403,18739,37843
2015-02-01,4859860,4226914,2.6,2038059,2188855,1730155,458700,632946,18915,38045
2015-03-01,4883074,4247729,2.7,2045449,2202280,1741547,460733,635345,19775,38448
2015-04-01,4888367,4251584,2.7,2049123,2202461,1740137,462324,636783,18980,38815
2015-05-01,4865612,4231210,2.6,2032056,2199154,1738727,460427,634402,19052,38900
2015-06-01,4875635,4240009,2.5,2031956,2208053,1745779,462274,635626,18441,39246
2015-07-01,4891878,4254017,2.6,2037556,2216461,1751140,465321,637861,18286,39379
2015-08-01,4900488,4261105,2.8,2039401,2221704,1755795,465909,639383,18138,39541
2015-09-01,4912903,4271264,2.7,2040869,2230395,1762889,467506,641639,19264,39583
2015-10-01,4925355,4281132,2.5,2045943,2235189,1765742,469447,644223,18592,40133
2015-11-01,4925087,4281108,2.3,2044204,2236904,1767947,468957,643979,18435,41039
2015-12-01,4966457,4318817,2.2,2060051,2258766,1785934,472832,647640,18589,41001
2016-01-01,4984220,4334625,2.3,2069624,2265001,1790288,474713,649595,18110,41005
2016-02-01,4968420,4320642,2.2,2057520,2263122,1789944,473178,647778,18120,41494
2016-03-01,4982545,4332691,2,2058817,2273874,1797990,475884,649854,19547,41764
2016-04-01,4997318,4346615,2.2,2068780,2277835,1799874,477961,650703,19256,42352
2016-05-01,4971366,4323228,2.2,2050300,2272928,1797622,475306,648138,18894,42474
2016-06-01,4974942,4324934,2,2043343,2281591,1804964,476627,650008,19118,42601
2016-07-01,4995710,4343018,2.1,2052608,2290410,1811639,478771,652692,20568,42770
2016-08-01,4998494,4344875,2,2049631,2295244,1816314,478930,653619,21854,43343
2016-09-01,5019608,4363527,2.2,2058142,2305385,1824264,481121,656081,26040,44050
2016-10-01,5041555,4382227,2.4,2069146,2313081,1829209,483872,659328,27174,44009
2016-11-01,5044073,4385261,2.4,2069485,2315776,1832160,483616,658812,24331,44705
2016-12-01,5095206,4432471,2.6,2096663,2335808,1848152,487656,662735,22307,44980
2017-01-01,5110525,4445834,2.6,2104147,2341687,1852299,489388,664691,21342,45202
2017-02-01,5107770,4443860,2.9,2100668,2343192,1854740,488452,663910,21080,45193
2017-03-01,5130339,4463610,3,2107198,2356412,1865465,490947,666729,22207,45831
2017-04-01,5144793,4475886,3,2118741,2357145,1865291,491854,668907,22074,44532
2017-05-01,5130433,4463746,3.3,2109588,2354158,1864729,489429,666687,21364,44994
2017-06-01,5137105,4468852,3.3,2105692,2363160,1872109,491051,668253,20857,45727
2017-07-01,5161867,4491591,3.4,2118972,2372619,1879206,493413,670276,20661,45809
2017-08-01,5157136,4485729,3.2,2106842,2378887,1885104,493783,671407,20233,46411
2017-09-01,5168103,4493893,3,2105675,2388218,1892530,495688,674210,21515,46501
